Question,Answer
"In 2009, Africa consumed how much of coal in terms of TWh?",1176.00 TWh
"In 2010, Africa consumed how much of coal in terms of TWh?",1167.17 TWh
"In 2011, Africa consumed how much of coal in terms of TWh?",1149.03 TWh
"In 2012, Africa consumed how much of coal in terms of TWh?",1120.19 TWh
"In 2013, Africa consumed how much of coal in terms of TWh?",1132.15 TWh
"In 2014, Africa consumed how much of coal in terms of TWh?",1185.71 TWh
"In 2015, Africa consumed how much of coal in terms of TWh?",1123.27 TWh
"In 2016, Africa consumed how much of coal in terms of TWh?",1191.60 TWh
"In 2017, Africa consumed how much of coal in terms of TWh?",1192.76 TWh
"In 2018, Africa consumed how much of coal in terms of TWh?",1170.13 TWh
"In 2019, Africa consumed how much of coal in terms of TWh?",1236.28 TWh
"In 2020, Africa consumed how much of coal in terms of TWh?",1195.17 TWh
"In 2021, Africa consumed how much of coal in terms of TWh?",1197.93 TWh
"In 2022, Africa consumed how much of coal in terms of TWh?",1144.87 TWh
"In 2023, Africa consumed how much of coal in terms of TWh?",1133.99 TWh
"In 1965, Africa (EI) consumed how much of coal in terms of TWh?",323.50 TWh
"In 1966, Africa (EI) consumed how much of coal in terms of TWh?",323.12 TWh
"In 1967, Africa (EI) consumed how much of coal in terms of TWh?",330.29 TWh
"In 1968, Africa (EI) consumed how much of coal in terms of TWh?",343.51 TWh
"In 1969, Africa (EI) consumed how much of coal in terms of TWh?",346.64 TWh
"In 1970, Africa (EI) consumed how much of coal in terms of TWh?",360.76 TWh
"In 1971, Africa (EI) consumed how much of coal in terms of TWh?",383.01 TWh
"In 1972, Africa (EI) consumed how much of coal in terms of TWh?",384.21 TWh
"In 1973, Africa (EI) consumed how much of coal in terms of TWh?",408.91 TWh
"In 1974, Africa (EI) consumed how much of coal in terms of TWh?",425.65 TWh
"In 1975, Africa (EI) consumed how much of coal in terms of TWh?",451.08 TWh
"In 1976, Africa (EI) consumed how much of coal in terms of TWh?",481.07 TWh
"In 1977, Africa (EI) consumed how much of coal in terms of TWh?",491.70 TWh
"In 1978, Africa (EI) consumed how much of coal in terms of TWh?",477.82 TWh
"In 1979, Africa (EI) consumed how much of coal in terms of TWh?",507.25 TWh
"In 1980, Africa (EI) consumed how much of coal in terms of TWh?",543.56 TWh
"In 1981, Africa (EI) consumed how much of coal in terms of TWh?",635.80 TWh
"In 1982, Africa (EI) consumed how much of coal in terms of TWh?",701.18 TWh
"In 1983, Africa (EI) consumed how much of coal in terms of TWh?",713.25 TWh
"In 1984, Africa (EI) consumed how much of coal in terms of TWh?",762.90 TWh
"In 1985, Africa (EI) consumed how much of coal in terms of TWh?",787.17 TWh
"In 1986, Africa (EI) consumed how much of coal in terms of TWh?",805.36 TWh
"In 1987, Africa (EI) consumed how much of coal in terms of TWh?",828.32 TWh
"In 1988, Africa (EI) consumed how much of coal in terms of TWh?",890.16 TWh
"In 1989, Africa (EI) consumed how much of coal in terms of TWh?",835.62 TWh
"In 1990, Africa (EI) consumed how much of coal in terms of TWh?",877.68 TWh
"In 1991, Africa (EI) consumed how much of coal in terms of TWh?",853.76 TWh
"In 1992, Africa (EI) consumed how much of coal in terms of TWh?",858.83 TWh
"In 1993, Africa (EI) consumed how much of coal in terms of TWh?",871.71 TWh
"In 1994, Africa (EI) consumed how much of coal in terms of TWh?",894.45 TWh
"In 1995, Africa (EI) consumed how much of coal in terms of TWh?",922.47 TWh
"In 1996, Africa (EI) consumed how much of coal in terms of TWh?",935.23 TWh
"In 1997, Africa (EI) consumed how much of coal in terms of TWh?",959.02 TWh
"In 1998, Africa (EI) consumed how much of coal in terms of TWh?",937.04 TWh
"In 1999, Africa (EI) consumed how much of coal in terms of TWh?",966.01 TWh
"In 2000, Africa (EI) consumed how much of coal in terms of TWh?",963.73 TWh
"In 2001, Africa (EI) consumed how much of coal in terms of TWh?",975.93 TWh
"In 2002, Africa (EI) consumed how much of coal in terms of TWh?",934.42 TWh
"In 2003, Africa (EI) consumed how much of coal in terms of TWh?",1017.05 TWh
"In 2004, Africa (EI) consumed how much of coal in terms of TWh?",1119.16 TWh
"In 2005, Africa (EI) consumed how much of coal in terms of TWh?",1039.07 TWh
"In 2006, Africa (EI) consumed how much of coal in terms of TWh?",1054.10 TWh
"In 2007, Africa (EI) consumed how much of coal in terms of TWh?",1071.63 TWh
"In 2008, Africa (EI) consumed how much of coal in terms of TWh?",1180.73 TWh
"In 2009, Africa (EI) consumed how much of coal in terms of TWh?",1176.00 TWh
"In 2010, Africa (EI) consumed how much of coal in terms of TWh?",1167.17 TWh
"In 2011, Africa (EI) consumed how much of coal in terms of TWh?",1149.03 TWh
"In 2012, Africa (EI) consumed how much of coal in terms of TWh?",1120.19 TWh
"In 2013, Africa (EI) consumed how much of coal in terms of TWh?",1132.15 TWh
"In 2014, Africa (EI) consumed how much of coal in terms of TWh?",1185.71 TWh
"In 2015, Africa (EI) consumed how much of coal in terms of TWh?",1123.27 TWh
"In 2016, Africa (EI) consumed how much of coal in terms of TWh?",1191.60 TWh
"In 2017, Africa (EI) consumed how much of coal in terms of TWh?",1192.76 TWh
"In 2018, Africa (EI) consumed how much of coal in terms of TWh?",1170.13 TWh
"In 2019, Africa (EI) consumed how much of coal in terms of TWh?",1236.28 TWh
"In 2020, Africa (EI) consumed how much of coal in terms of TWh?",1195.17 TWh
"In 2021, Africa (EI) consumed how much of coal in terms of TWh?",1197.93 TWh
"In 2022, Africa (EI) consumed how much of coal in terms of TWh?",1144.87 TWh
"In 2023, Africa (EI) consumed how much of coal in terms of TWh?",1133.99 TWh
"In 1965, Algeria consumed how much of coal in terms of TWh?",0.81 TWh
"In 1966, Algeria consumed how much of coal in terms of TWh?",0.79 TWh
"In 1967, Algeria consumed how much of coal in terms of TWh?",0.60 TWh
"In 1968, Algeria consumed how much of coal in terms of TWh?",0.64 TWh
"In 1969, Algeria consumed how much of coal in terms of TWh?",0.81 TWh
"In 1970, Algeria consumed how much of coal in terms of TWh?",0.97 TWh
"In 1971, Algeria consumed how much of coal in terms of TWh?",0.27 TWh
"In 1972, Algeria consumed how much of coal in terms of TWh?",0.23 TWh
"In 1973, Algeria consumed how much of coal in terms of TWh?",0.27 TWh
"In 1974, Algeria consumed how much of coal in terms of TWh?",0.22 TWh
"In 1975, Algeria consumed how much of coal in terms of TWh?",0.28 TWh
"In 1976, Algeria consumed how much of coal in terms of TWh?",0.55 TWh
"In 1977, Algeria consumed how much of coal in terms of TWh?",0.71 TWh
"In 1978, Algeria consumed how much of coal in terms of TWh?",0.36 TWh
"In 1979, Algeria consumed how much of coal in terms of TWh?",0.84 TWh
"In 1980, Algeria consumed how much of coal in terms of TWh?",0.74 TWh
"In 1981, Algeria consumed how much of coal in terms of TWh?",0.52 TWh
"In 1982, Algeria consumed how much of coal in terms of TWh?",9.71 TWh
"In 1983, Algeria consumed how much of coal in terms of TWh?",8.66 TWh
"In 1984, Algeria consumed how much of coal in terms of TWh?",9.61 TWh
"In 1985, Algeria consumed how much of coal in terms of TWh?",10.03 TWh
"In 1986, Algeria consumed how much of coal in terms of TWh?",10.29 TWh
"In 1987, Algeria consumed how much of coal in terms of TWh?",12.30 TWh
"In 1988, Algeria consumed how much of coal in terms of TWh?",11.57 TWh
"In 1989, Algeria consumed how much of coal in terms of TWh?",9.78 TWh
"In 1990, Algeria consumed how much of coal in terms of TWh?",7.66 TWh
"In 1991, Algeria consumed how much of coal in terms of TWh?",7.91 TWh
"In 1992, Algeria consumed how much of coal in terms of TWh?",9.40 TWh
"In 1993, Algeria consumed how much of coal in terms of TWh?",7.65 TWh
"In 1994, Algeria consumed how much of coal in terms of TWh?",7.21 TWh
"In 1995, Algeria consumed how much of coal in terms of TWh?",7.21 TWh
"In 1996, Algeria consumed how much of coal in terms of TWh?",3.40 TWh
"In 1997, Algeria consumed how much of coal in terms of TWh?",5.95 TWh
"In 1998, Algeria consumed how much of coal in terms of TWh?",6.37 TWh
"In 1999, Algeria consumed how much of coal in terms of TWh?",6.83 TWh
"In 2000, Algeria consumed how much of coal in terms of TWh?",5.64 TWh
"In 2001, Algeria consumed how much of coal in terms of TWh?",6.51 TWh
"In 2002, Algeria consumed how much of coal in terms of TWh?",8.55 TWh
"In 2003, Algeria consumed how much of coal in terms of TWh?",7.05 TWh
"In 2004, Algeria consumed how much of coal in terms of TWh?",8.41 TWh
"In 2005, Algeria consumed how much of coal in terms of TWh?",6.91 TWh
"In 2006, Algeria consumed how much of coal in terms of TWh?",10.26 TWh
"In 2007, Algeria consumed how much of coal in terms of TWh?",8.80 TWh
"In 2008, Algeria consumed how much of coal in terms of TWh?",8.80 TWh
"In 2009, Algeria consumed how much of coal in terms of TWh?",5.65 TWh
"In 2010, Algeria consumed how much of coal in terms of TWh?",3.61 TWh
"In 2011, Algeria consumed how much of coal in terms of TWh?",3.20 TWh
"In 2012, Algeria consumed how much of coal in terms of TWh?",3.40 TWh
"In 2013, Algeria consumed how much of coal in terms of TWh?",1.84 TWh
"In 2014, Algeria consumed how much of coal in terms of TWh?",2.08 TWh
"In 2015, Algeria consumed how much of coal in terms of TWh?",1.55 TWh
"In 2016, Algeria consumed how much of coal in terms of TWh?",0.57 TWh
"In 2017, Algeria consumed how much of coal in terms of TWh?",2.12 TWh
"In 2018, Algeria consumed how much of coal in terms of TWh?",5.82 TWh
"In 2019, Algeria consumed how much of coal in terms of TWh?",4.80 TWh
"In 2020, Algeria consumed how much of coal in terms of TWh?",1.52 TWh
"In 2021, Algeria consumed how much of coal in terms of TWh?",3.11 TWh
"In 2022, Algeria consumed how much of coal in terms of TWh?",2.17 TWh
"In 2023, Algeria consumed how much of coal in terms of TWh?",1.93 TWh
"In 1965, Argentina consumed how much of coal in terms of TWh?",8.46 TWh
"In 1966, Argentina consumed how much of coal in terms of TWh?",6.97 TWh
"In 1967, Argentina consumed how much of coal in terms of TWh?",7.84 TWh
"In 1968, Argentina consumed how much of coal in terms of TWh?",7.62 TWh
"In 1969, Argentina consumed how much of coal in terms of TWh?",9.12 TWh
"In 1970, Argentina consumed how much of coal in terms of TWh?",11.72 TWh
"In 1971, Argentina consumed how much of coal in terms of TWh?",10.28 TWh
"In 1972, Argentina consumed how much of coal in terms of TWh?",8.65 TWh
"In 1973, Argentina consumed how much of coal in terms of TWh?",9.50 TWh
"In 1974, Argentina consumed how much of coal in terms of TWh?",11.83 TWh
"In 1975, Argentina consumed how much of coal in terms of TWh?",11.51 TWh
"In 1976, Argentina consumed how much of coal in terms of TWh?",11.64 TWh
"In 1977, Argentina consumed how much of coal in terms of TWh?",11.01 TWh
"In 1978, Argentina consumed how much of coal in terms of TWh?",13.42 TWh
"In 1979, Argentina consumed how much of coal in terms of TWh?",12.50 TWh
"In 1980, Argentina consumed how much of coal in terms of TWh?",11.14 TWh
"In 1981, Argentina consumed how much of coal in terms of TWh?",10.56 TWh
"In 1982, Argentina consumed how much of coal in terms of TWh?",10.67 TWh
"In 1983, Argentina consumed how much of coal in terms of TWh?",9.68 TWh
"In 1984, Argentina consumed how much of coal in terms of TWh?",7.19 TWh
"In 1985, Argentina consumed how much of coal in terms of TWh?",10.60 TWh
"In 1986, Argentina consumed how much of coal in terms of TWh?",12.11 TWh
"In 1987, Argentina consumed how much of coal in terms of TWh?",13.44 TWh
"In 1988, Argentina consumed how much of coal in terms of TWh?",13.77 TWh
"In 1989, Argentina consumed how much of coal in terms of TWh?",14.90 TWh
"In 1990, Argentina consumed how much of coal in terms of TWh?",12.27 TWh
"In 1991, Argentina consumed how much of coal in terms of TWh?",10.79 TWh
"In 1992, Argentina consumed how much of coal in terms of TWh?",12.17 TWh
"In 1993, Argentina consumed how much of coal in terms of TWh?",8.07 TWh
"In 1994, Argentina consumed how much of coal in terms of TWh?",7.07 TWh
"In 1995, Argentina consumed how much of coal in terms of TWh?",7.41 TWh
"In 1996, Argentina consumed how much of coal in terms of TWh?",7.77 TWh
"In 1997, Argentina consumed how much of coal in terms of TWh?",6.13 TWh
"In 1998, Argentina consumed how much of coal in terms of TWh?",8.24 TWh
"In 1999, Argentina consumed how much of coal in terms of TWh?",9.89 TWh
"In 2000, Argentina consumed how much of coal in terms of TWh?",7.51 TWh
"In 2001, Argentina consumed how much of coal in terms of TWh?",6.16 TWh
"In 2002, Argentina consumed how much of coal in terms of TWh?",4.59 TWh
"In 2003, Argentina consumed how much of coal in terms of TWh?",5.59 TWh
"In 2004, Argentina consumed how much of coal in terms of TWh?",9.52 TWh
"In 2005, Argentina consumed how much of coal in terms of TWh?",10.96 TWh
"In 2006, Argentina consumed how much of coal in terms of TWh?",9.92 TWh
"In 2007, Argentina consumed how much of coal in terms of TWh?",14.36 TWh
"In 2008, Argentina consumed how much of coal in terms of TWh?",17.52 TWh
"In 2009, Argentina consumed how much of coal in terms of TWh?",9.62 TWh
"In 2010, Argentina consumed how much of coal in terms of TWh?",13.47 TWh
"In 2011, Argentina consumed how much of coal in terms of TWh?",14.62 TWh
"In 2012, Argentina consumed how much of coal in terms of TWh?",13.67 TWh
"In 2013, Argentina consumed how much of coal in terms of TWh?",14.94 TWh
"In 2014, Argentina consumed how much of coal in terms of TWh?",15.89 TWh
"In 2015, Argentina consumed how much of coal in terms of TWh?",15.81 TWh
"In 2016, Argentina consumed how much of coal in terms of TWh?",12.19 TWh
"In 2017, Argentina consumed how much of coal in terms of TWh?",12.53 TWh
"In 2018, Argentina consumed how much of coal in terms of TWh?",13.71 TWh
"In 2019, Argentina consumed how much of coal in terms of TWh?",8.12 TWh
"In 2020, Argentina consumed how much of coal in terms of TWh?",10.02 TWh
"In 2021, Argentina consumed how much of coal in terms of TWh?",14.05 TWh
"In 2022, Argentina consumed how much of coal in terms of TWh?",14.89 TWh
"In 2023, Argentina consumed how much of coal in terms of TWh?",12.79 TWh
"In 1965, Asia consumed how much of coal in terms of TWh?",2604.78 TWh
"In 1966, Asia consumed how much of coal in terms of TWh?",2753.78 TWh
"In 1967, Asia consumed how much of coal in terms of TWh?",2667.21 TWh
"In 1968, Asia consumed how much of coal in terms of TWh?",2708.17 TWh
"In 1969, Asia consumed how much of coal in terms of TWh?",3056.83 TWh
"In 1970, Asia consumed how much of coal in terms of TWh?",3440.95 TWh
"In 1971, Asia consumed how much of coal in terms of TWh?",3697.76 TWh
"In 1972, Asia consumed how much of coal in terms of TWh?",3842.57 TWh
"In 1973, Asia consumed how much of coal in terms of TWh?",3932.51 TWh
"In 1974, Asia consumed how much of coal in terms of TWh?",4027.64 TWh
"In 1975, Asia consumed how much of coal in terms of TWh?",4352.36 TWh
"In 1976, Asia consumed how much of coal in terms of TWh?",4454.00 TWh
"In 1977, Asia consumed how much of coal in terms of TWh?",4754.67 TWh
"In 1978, Asia consumed how much of coal in terms of TWh?",4987.23 TWh
"In 1979, Asia consumed how much of coal in terms of TWh?",5233.94 TWh
"In 1980, Asia consumed how much of coal in terms of TWh?",5541.42 TWh
"In 1981, Asia consumed how much of coal in terms of TWh?",5723.56 TWh
"In 1982, Asia consumed how much of coal in terms of TWh?",5951.46 TWh
"In 1983, Asia consumed how much of coal in terms of TWh?",6326.97 TWh
"In 1984, Asia consumed how much of coal in terms of TWh?",6892.81 TWh
"In 1985, Asia consumed how much of coal in terms of TWh?",7993.00 TWh
"In 1986, Asia consumed how much of coal in terms of TWh?",8322.27 TWh
"In 1987, Asia consumed how much of coal in terms of TWh?",8908.04 TWh
"In 1988, Asia consumed how much of coal in terms of TWh?",9504.19 TWh
"In 1989, Asia consumed how much of coal in terms of TWh?",9890.94 TWh
"In 1990, Asia consumed how much of coal in terms of TWh?",10069.82 TWh
"In 1991, Asia consumed how much of coal in terms of TWh?",10463.95 TWh
"In 1992, Asia consumed how much of coal in terms of TWh?",10792.99 TWh
"In 1993, Asia consumed how much of coal in terms of TWh?",11289.66 TWh
"In 1994, Asia consumed how much of coal in terms of TWh?",11828.35 TWh
"In 1995, Asia consumed how much of coal in terms of TWh?",12008.84 TWh
"In 1996, Asia consumed how much of coal in terms of TWh?",12512.81 TWh
"In 1997, Asia consumed how much of coal in terms of TWh?",12531.09 TWh
"In 1998, Asia consumed how much of coal in terms of TWh?",12510.56 TWh
"In 1999, Asia consumed how much of coal in terms of TWh?",12818.99 TWh
"In 2000, Asia consumed how much of coal in terms of TWh?",13324.22 TWh
"In 2001, Asia consumed how much of coal in terms of TWh?",13950.60 TWh
"In 2002, Asia consumed how much of coal in terms of TWh?",15029.38 TWh
"In 2003, Asia consumed how much of coal in terms of TWh?",17203.28 TWh
"In 2004, Asia consumed how much of coal in terms of TWh?",19355.11 TWh
"In 2005, Asia consumed how much of coal in terms of TWh?",22006.00 TWh
"In 2006, Asia consumed how much of coal in terms of TWh?",23724.08 TWh
"In 2007, Asia consumed how much of coal in terms of TWh?",25780.48 TWh
"In 2008, Asia consumed how much of coal in terms of TWh?",26500.35 TWh
"In 2009, Asia consumed how much of coal in terms of TWh?",27391.23 TWh
"In 2010, Asia consumed how much of coal in terms of TWh?",28681.96 TWh
"In 2011, Asia consumed how much of coal in terms of TWh?",30784.86 TWh
"In 2012, Asia consumed how much of coal in terms of TWh?",31491.20 TWh
"In 2013, Asia consumed how much of coal in terms of TWh?",32123.35 TWh
"In 2014, Asia consumed how much of coal in terms of TWh?",32624.03 TWh
"In 2015, Asia consumed how much of coal in terms of TWh?",32263.89 TWh
"In 2016, Asia consumed how much of coal in terms of TWh?",31856.43 TWh
"In 2017, Asia consumed how much of coal in terms of TWh?",32606.37 TWh
"In 2018, Asia consumed how much of coal in terms of TWh?",33595.40 TWh
"In 2019, Asia consumed how much of coal in terms of TWh?",34408.50 TWh
"In 2020, Asia consumed how much of coal in terms of TWh?",34387.05 TWh
"In 2021, Asia consumed how much of coal in terms of TWh?",36045.86 TWh
"In 2022, Asia consumed how much of coal in terms of TWh?",36652.58 TWh
"In 2023, Asia consumed how much of coal in terms of TWh?",38273.82 TWh
"In 1965, Asia Pacific (EI) consumed how much of coal in terms of TWh?",2780.73 TWh
"In 1966, Asia Pacific (EI) consumed how much of coal in terms of TWh?",2931.51 TWh
"In 1967, Asia Pacific (EI) consumed how much of coal in terms of TWh?",2854.30 TWh
"In 1968, Asia Pacific (EI) consumed how much of coal in terms of TWh?",2896.73 TWh
"In 1969, Asia Pacific (EI) consumed how much of coal in terms of TWh?",3250.19 TWh
"In 1970, Asia Pacific (EI) consumed how much of coal in terms of TWh?",3631.14 TWh
"In 1971, Asia Pacific (EI) consumed how much of coal in terms of TWh?",3886.67 TWh
"In 1972, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4036.59 TWh
"In 1973, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4134.18 TWh
"In 1974, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4234.74 TWh
"In 1975, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4557.45 TWh
"In 1976, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4665.68 TWh
"In 1977, Asia Pacific (EI) consumed how much of coal in terms of TWh?",4975.58 TWh
"In 1978, Asia Pacific (EI) consumed how much of coal in terms of TWh?",5219.30 TWh
"In 1979, Asia Pacific (EI) consumed how much of coal in terms of TWh?",5472.16 TWh
"In 1980, Asia Pacific (EI) consumed how much of coal in terms of TWh?",5784.01 TWh
"In 1981, Asia Pacific (EI) consumed how much of coal in terms of TWh?",5975.04 TWh
"In 1982, Asia Pacific (EI) consumed how much of coal in terms of TWh?",6185.46 TWh
"In 1983, Asia Pacific (EI) consumed how much of coal in terms of TWh?",6548.08 TWh
"In 1984, Asia Pacific (EI) consumed how much of coal in terms of TWh?",7115.33 TWh
"In 1985, Asia Pacific (EI) consumed how much of coal in terms of TWh?",7676.93 TWh
"In 1986, Asia Pacific (EI) consumed how much of coal in terms of TWh?",7972.33 TWh
"In 1987, Asia Pacific (EI) consumed how much of coal in terms of TWh?",8546.45 TWh
"In 1988, Asia Pacific (EI) consumed how much of coal in terms of TWh?",9157.78 TWh
"In 1989, Asia Pacific (EI) consumed how much of coal in terms of TWh?",9570.25 TWh
"In 1990, Asia Pacific (EI) consumed how much of coal in terms of TWh?",9777.63 TWh
"In 1991, Asia Pacific (EI) consumed how much of coal in terms of TWh?",10180.25 TWh
"In 1992, Asia Pacific (EI) consumed how much of coal in terms of TWh?",10531.39 TWh
"In 1993, Asia Pacific (EI) consumed how much of coal in terms of TWh?",11087.26 TWh
"In 1994, Asia Pacific (EI) consumed how much of coal in terms of TWh?",11640.72 TWh
"In 1995, Asia Pacific (EI) consumed how much of coal in terms of TWh?",11914.05 TWh
"In 1996, Asia Pacific (EI) consumed how much of coal in terms of TWh?",12435.80 TWh
"In 1997, Asia Pacific (EI) consumed how much of coal in terms of TWh?",12493.18 TWh
"In 1998, Asia Pacific (EI) consumed how much of coal in terms of TWh?",12483.23 TWh
"In 1999, Asia Pacific (EI) consumed how much of coal in terms of TWh?",12863.83 TWh
"In 2000, Asia Pacific (EI) consumed how much of coal in terms of TWh?",13352.60 TWh
"In 2001, Asia Pacific (EI) consumed how much of coal in terms of TWh?",13963.22 TWh
"In 2002, Asia Pacific (EI) consumed how much of coal in terms of TWh?",15034.04 TWh
"In 2003, Asia Pacific (EI) consumed how much of coal in terms of TWh?",17182.91 TWh
"In 2004, Asia Pacific (EI) consumed how much of coal in terms of TWh?",19323.76 TWh
"In 2005, Asia Pacific (EI) consumed how much of coal in terms of TWh?",21965.54 TWh
"In 2006, Asia Pacific (EI) consumed how much of coal in terms of TWh?",23637.75 TWh
"In 2007, Asia Pacific (EI) consumed how much of coal in terms of TWh?",25611.32 TWh
"In 2008, Asia Pacific (EI) consumed how much of coal in terms of TWh?",26328.44 TWh
"In 2009, Asia Pacific (EI) consumed how much of coal in terms of TWh?",27218.47 TWh
"In 2010, Asia Pacific (EI) consumed how much of coal in terms of TWh?",28415.46 TWh
"In 2011, Asia Pacific (EI) consumed how much of coal in terms of TWh?",30437.15 TWh
"In 2012, Asia Pacific (EI) consumed how much of coal in terms of TWh?",31035.36 TWh
"In 2013, Asia Pacific (EI) consumed how much of coal in terms of TWh?",31706.03 TWh
"In 2014, Asia Pacific (EI) consumed how much of coal in terms of TWh?",32150.76 TWh
"In 2015, Asia Pacific (EI) consumed how much of coal in terms of TWh?",31945.38 TWh
"In 2016, Asia Pacific (EI) consumed how much of coal in terms of TWh?",31447.64 TWh
"In 2017, Asia Pacific (EI) consumed how much of coal in terms of TWh?",32131.63 TWh
"In 2018, Asia Pacific (EI) consumed how much of coal in terms of TWh?",33068.71 TWh
"In 2019, Asia Pacific (EI) consumed how much of coal in terms of TWh?",33872.10 TWh
"In 2020, Asia Pacific (EI) consumed how much of coal in terms of TWh?",33862.70 TWh
"In 2021, Asia Pacific (EI) consumed how much of coal in terms of TWh?",35487.16 TWh
"In 2022, Asia Pacific (EI) consumed how much of coal in terms of TWh?",36054.81 TWh
"In 2023, Asia Pacific (EI) consumed how much of coal in terms of TWh?",37693.12 TWh
"In 1965, Australia consumed how much of coal in terms of TWh?",202.03 TWh
"In 1966, Australia consumed how much of coal in terms of TWh?",209.39 TWh
"In 1967, Australia consumed how much of coal in terms of TWh?",215.25 TWh
"In 1968, Australia consumed how much of coal in terms of TWh?",221.69 TWh
"In 1969, Australia consumed how much of coal in terms of TWh?",229.28 TWh
"In 1970, Australia consumed how much of coal in terms of TWh?",231.69 TWh
"In 1971, Australia consumed how much of coal in terms of TWh?",232.57 TWh
"In 1972, Australia consumed how much of coal in terms of TWh?",242.93 TWh
"In 1973, Australia consumed how much of coal in terms of TWh?",252.99 TWh
"In 1974, Australia consumed how much of coal in terms of TWh?",264.07 TWh
"In 1975, Australia consumed how much of coal in terms of TWh?",272.54 TWh
"In 1976, Australia consumed how much of coal in terms of TWh?",281.79 TWh
"In 1977, Australia consumed how much of coal in terms of TWh?",294.18 TWh
"In 1978, Australia consumed how much of coal in terms of TWh?",301.86 TWh
"In 1979, Australia consumed how much of coal in terms of TWh?",315.54 TWh
"In 1980, Australia consumed how much of coal in terms of TWh?",324.76 TWh
"In 1981, Australia consumed how much of coal in terms of TWh?",333.14 TWh
"In 1982, Australia consumed how much of coal in terms of TWh?",336.68 TWh
"In 1983, Australia consumed how much of coal in terms of TWh?",336.56 TWh
"In 1984, Australia consumed how much of coal in terms of TWh?",355.90 TWh
"In 1985, Australia consumed how much of coal in terms of TWh?",368.14 TWh
"In 1986, Australia consumed how much of coal in terms of TWh?",377.49 TWh
"In 1987, Australia consumed how much of coal in terms of TWh?",393.36 TWh
"In 1988, Australia consumed how much of coal in terms of TWh?",413.76 TWh
"In 1989, Australia consumed how much of coal in terms of TWh?",433.96 TWh
"In 1990, Australia consumed how much of coal in terms of TWh?",444.35 TWh
"In 1991, Australia consumed how much of coal in terms of TWh?",453.26 TWh
"In 1992, Australia consumed how much of coal in terms of TWh?",455.96 TWh
"In 1993, Australia consumed how much of coal in terms of TWh?",458.89 TWh
